Booking_ID,Booking_Date,Num_Of_People,Status,Tourist_ID,Rest_ID
1,2024-05-27,6,Pending,457,122
2,2024-03-20,4,Cancelled,49,178
3,2023-07-26,9,Pending,240,38
4,2024-06-30,6,Confirmed,322,278
5,2023-01-09,8,Confirmed,265,474
6,2024-05-24,8,Cancelled,382,464
7,2024-02-25,8,Pending,167,214
8,2025-10-29,11,Cancelled,114,373
9,2025-08-04,6,Cancelled,217,169
10,2023-01-30,7,Confirmed,334,111
11,2023-07-26,2,Cancelled,302,74
12,2025-11-24,2,Confirmed,105,447
13,2023-03-15,12,Cancelled,235,56
14,2023-04-29,9,Pending,497,144
15,2023-02-13,8,Confirmed,77,451
16,2025-11-26,2,Confirmed,252,220
17,2024-04-17,2,Confirmed,108,466
18,2024-11-29,1,Cancelled,17,100
19,2024-04-01,6,Confirmed,417,15
20,2024-03-20,1,Confirmed,107,187
21,2023-09-23,10,Cancelled,195,123
22,2023-09-03,6,Pending,365,390
23,2025-08-01,12,Cancelled,31,322
24,2024-10-19,9,Confirmed,450,467
25,2024-02-15,2,Cancelled,253,414
26,2025-10-28,9,Pending,246,182
27,2024-10-12,12,Cancelled,137,313
28,2025-09-21,3,Cancelled,228,119
29,2024-04-27,10,Cancelled,78,57
30,2024-12-23,5,Confirmed,6,423
31,2024-05-12,8,Confirmed,130,273
32,2023-08-29,10,Pending,45,341
33,2024-04-04,9,Pending,413,250
34,2024-05-30,4,Cancelled,52,24
35,2023-02-27,4,Cancelled,166,343
36,2023-02-02,8,Cancelled,328,315
37,2023-10-02,10,Pending,383,266
38,2025-05-19,10,Pending,477,78
39,2024-04-09,4,Cancelled,159,261
40,2025-06-27,11,Cancelled,342,377
41,2024-02-10,11,Confirmed,335,159
42,2024-06-30,4,Pending,377,181
43,2025-05-23,11,Confirmed,362,197
44,2024-03-09,7,Confirmed,159,399
45,2025-04-05,12,Pending,186,379
46,2025-03-06,2,Confirmed,204,1
47,2023-05-20,5,Confirmed,53,148
48,2025-01-02,3,Confirmed,349,185
49,2024-01-06,1,Cancelled,484,328
50,2025-12-20,4,Confirmed,223,261
51,2025-04-28,10,Cancelled,476,358
52,2025-04-11,8,Confirmed,15,323
53,2023-12-30,3,Pending,79,3
54,2023-10-22,3,Cancelled,169,211
55,2023-05-14,5,Pending,270,120
56,2024-09-29,2,Confirmed,56,18
57,2024-09-28,7,Pending,415,370
58,2023-08-12,9,Confirmed,297,316
59,2023-02-27,9,Pending,483,50
60,2025-02-16,6,Cancelled,319,373
61,2024-12-29,4,Pending,334,335
62,2023-03-05,11,Cancelled,347,238
63,2025-07-16,8,Pending,13,469
64,2023-11-16,10,Cancelled,407,204
65,2025-05-31,1,Pending,351,422
66,2025-01-26,1,Confirmed,227,478
67,2025-01-27,10,Confirmed,203,484
68,2023-08-29,1,Cancelled,226,41
69,2023-08-30,8,Pending,465,221
70,2025-11-28,6,Pending,352,409
71,2025-02-03,7,Cancelled,450,33
72,2025-09-02,6,Cancelled,345,24
73,2023-11-23,11,Confirmed,477,267
74,2023-06-03,5,Cancelled,441,208
75,2024-10-15,6,Confirmed,384,178
76,2023-07-03,12,Pending,445,128
77,2024-02-03,5,Cancelled,356,445
78,2024-05-12,9,Cancelled,423,384
79,2024-10-06,8,Pending,4,204
80,2023-02-14,9,Pending,51,63
81,2025-05-02,7,Cancelled,279,233
82,2023-08-15,3,Pending,16,99
83,2025-03-06,6,Confirmed,212,97
84,2024-12-24,10,Cancelled,330,371
85,2024-12-03,9,Cancelled,289,390
86,2025-01-19,5,Confirmed,94,485
87,2023-06-21,7,Cancelled,465,59
88,2025-12-17,1,Pending,27,18
89,2024-07-05,11,Cancelled,470,385
90,2025-12-29,11,Confirmed,136,457
91,2023-09-29,10,Confirmed,212,56
92,2024-10-02,8,Confirmed,319,7
93,2025-03-30,1,Confirmed,311,102
94,2024-03-09,11,Pending,218,132
95,2024-05-24,9,Confirmed,414,495
96,2024-01-25,8,Cancelled,21,225
97,2024-01-07,11,Pending,363,286
98,2024-02-12,3,Pending,407,275
99,2024-06-11,1,Pending,375,500
100,2024-10-25,4,Pending,145,289
101,2025-04-18,12,Cancelled,323,106
102,2024-04-30,2,Cancelled,330,114
103,2024-07-23,12,Cancelled,15,260
104,2025-07-08,1,Cancelled,3,364
105,2024-05-26,11,Pending,451,194
106,2024-10-11,2,Confirmed,125,438
107,2025-04-17,3,Cancelled,311,378
108,2025-01-27,3,Pending,270,195
109,2023-06-18,11,Pending,301,291
110,2025-10-14,10,Confirmed,318,386
111,2023-06-06,2,Cancelled,224,486
112,2025-01-10,10,Pending,283,18
113,2025-02-23,11,Cancelled,294,495
114,2023-07-03,11,Pending,312,125
115,2025-06-19,1,Confirmed,472,409
116,2024-10-29,3,Cancelled,66,302
117,2025-01-18,6,Cancelled,142,70
118,2025-11-13,7,Pending,415,41
119,2023-03-17,7,Confirmed,362,233
120,2024-02-06,3,Confirmed,407,392
121,2024-09-19,8,Confirmed,114,135
122,2024-06-05,5,Confirmed,418,218
123,2023-11-04,11,Confirmed,137,120
124,2025-08-10,10,Confirmed,436,52
125,2024-06-19,7,Pending,410,151
126,2025-08-24,2,Confirmed,452,437
127,2023-11-15,6,Confirmed,215,392
128,2023-05-21,3,Confirmed,287,346
129,2025-05-01,8,Confirmed,322,36
130,2024-11-24,6,Confirmed,45,462
131,2025-08-29,11,Cancelled,215,23
132,2023-02-12,12,Pending,273,482
133,2025-02-05,4,Pending,493,43
134,2023-05-11,8,Confirmed,249,242
135,2023-01-18,10,Confirmed,489,288
136,2024-08-13,9,Confirmed,426,107
137,2025-03-30,4,Confirmed,132,147
138,2025-06-15,7,Confirmed,371,183
139,2025-05-05,4,Pending,204,13
140,2025-09-19,7,Confirmed,318,339
141,2023-12-05,7,Cancelled,97,355
142,2025-08-08,7,Cancelled,401,137
143,2023-09-07,4,Pending,60,92
144,2023-11-16,10,Pending,149,182
145,2024-07-08,4,Pending,437,6
146,2023-03-08,6,Cancelled,352,331
147,2025-12-12,6,Pending,481,356
148,2024-01-04,12,Cancelled,151,192
149,2024-09-21,10,Pending,399,457
150,2023-05-08,11,Cancelled,293,274
151,2024-04-01,10,Confirmed,48,75
152,2023-10-21,8,Confirmed,21,345
153,2025-12-03,6,Pending,282,319
154,2023-03-30,1,Confirmed,343,270
155,2025-12-14,4,Pending,117,12
156,2024-05-20,4,Pending,200,271
157,2024-10-20,7,Confirmed,465,180
158,2023-09-17,1,Confirmed,5,20
159,2025-07-18,6,Confirmed,68,180
160,2024-11-02,8,Cancelled,156,45
161,2025-11-28,6,Cancelled,1,24
162,2025-08-04,4,Cancelled,100,293
163,2023-10-30,11,Pending,152,259
164,2023-08-26,1,Confirmed,361,430
165,2023-11-06,9,Cancelled,443,480
166,2025-02-21,4,Cancelled,71,273
167,2024-05-05,6,Cancelled,354,212
168,2023-02-07,10,Confirmed,225,80
169,2025-11-26,3,Confirmed,438,231
170,2025-06-28,6,Confirmed,489,10
171,2024-10-27,1,Cancelled,131,397
172,2025-09-24,10,Confirmed,180,355
173,2025-05-31,6,Cancelled,146,424
174,2025-03-20,12,Cancelled,95,374
175,2024-01-20,5,Pending,439,386
176,2023-06-30,8,Confirmed,454,101
177,2025-06-05,9,Cancelled,160,406
178,2024-05-11,8,Pending,27,244
179,2024-07-03,11,Pending,111,207
180,2025-02-07,8,Pending,429,268
181,2025-05-25,11,Cancelled,385,88
182,2025-12-07,2,Pending,431,375
183,2024-06-23,8,Pending,204,353
184,2024-06-14,1,Confirmed,173,18
185,2024-11-03,3,Pending,286,456
186,2024-06-17,1,Cancelled,248,286
187,2025-08-13,8,Pending,116,10
188,2024-07-11,9,Confirmed,125,424
189,2023-03-19,7,Confirmed,334,174
190,2025-10-06,1,Cancelled,321,302
191,2025-09-24,9,Cancelled,406,417
192,2025-02-25,8,Confirmed,350,398
193,2024-09-18,8,Pending,4,449
194,2023-10-19,3,Cancelled,6,205
195,2025-05-28,4,Pending,253,365
196,2023-07-02,11,Pending,292,410
197,2024-03-31,9,Confirmed,322,295
198,2025-01-30,11,Confirmed,231,11
199,2025-09-15,3,Pending,267,135
200,2024-01-29,11,Confirmed,447,427
201,2023-11-22,10,Cancelled,157,359
202,2024-08-09,2,Pending,6,43
