rate_num,rating_type,degree,Feedback_ID
1,Cleanliness,2,141
2,Food,4,420
3,Food,4,412
4,Service,4,59
5,Service,1,87
6,Cleanliness,2,273
7,Cleanliness,3,211
8,Cleanliness,3,403
9,Service,3,461
10,Food,1,242
11,Cleanliness,2,185
12,Service,4,223
13,Cleanliness,4,48
14,Service,4,414
15,Food,2,411
16,Cleanliness,2,20
17,Service,2,21
18,Service,3,227
19,Food,2,491
20,Food,1,414
21,Cleanliness,5,75
22,Cleanliness,3,53
23,Service,5,40
24,Service,3,433
25,Food,5,383
26,Service,1,344
27,Food,1,131
28,Service,1,261
29,Cleanliness,1,411
30,Cleanliness,3,393
31,Food,2,39
32,Service,3,209
33,Cleanliness,5,88
34,Cleanliness,2,274
35,Service,3,445
36,Service,2,194
37,Cleanliness,5,151
38,Service,5,173
39,Food,3,101
40,Service,1,397
41,Cleanliness,2,26
42,Service,5,327
43,Service,1,120
44,Food,2,403
45,Cleanliness,3,176
46,Food,2,112
47,Cleanliness,5,58
48,Food,5,90
49,Service,2,374
50,Service,5,91
51,Service,2,211
52,Cleanliness,4,179
53,Cleanliness,4,365
54,Cleanliness,5,398
55,Cleanliness,4,32
56,Service,1,268
57,Cleanliness,4,383
58,Cleanliness,4,143
59,Food,5,141
60,Food,1,127
61,Food,1,191
62,Food,5,430
63,Service,1,385
64,Cleanliness,3,2
65,Food,1,359
66,Food,2,356
67,Food,5,182
68,Food,4,146
69,Food,2,214
70,Food,5,408
71,Cleanliness,4,355
72,Service,4,282
73,Service,1,435
74,Service,3,356
75,Cleanliness,1,38
76,Service,5,400
77,Cleanliness,3,453
78,Cleanliness,2,73
79,Cleanliness,2,58
80,Food,4,328
81,Service,5,99
82,Cleanliness,1,113
83,Food,4,110
84,Service,5,377
85,Service,5,382
86,Service,5,196
87,Cleanliness,4,150
88,Cleanliness,4,83
89,Cleanliness,2,451
90,Service,4,249
91,Food,5,225
92,Service,3,406
93,Service,2,272
94,Service,2,294
95,Cleanliness,1,295
96,Service,1,272
97,Service,2,147
98,Service,3,401
99,Cleanliness,5,11
100,Cleanliness,5,306
101,Food,2,292
102,Food,5,89
103,Service,2,451
104,Cleanliness,5,456
105,Food,5,86
106,Food,3,233
107,Service,3,300
108,Service,5,369
109,Cleanliness,4,240
110,Service,1,471
111,Food,1,396
112,Food,1,420
113,Cleanliness,4,412
114,Cleanliness,5,285
115,Food,4,389
116,Food,2,418
117,Food,2,457
118,Service,4,471
119,Service,2,66
120,Food,4,326
121,Food,3,261
122,Service,1,8
123,Service,3,239
124,Cleanliness,5,90
125,Service,3,242
126,Cleanliness,5,278
127,Service,2,199
128,Cleanliness,4,409
129,Cleanliness,1,58
130,Service,4,354
131,Food,2,298
132,Service,2,402
133,Cleanliness,3,155
134,Service,2,275
135,Cleanliness,4,341
136,Cleanliness,4,274
137,Service,5,284
138,Food,2,378
139,Service,4,488
140,Service,3,320
141,Cleanliness,1,127
142,Food,3,358
143,Food,4,184
144,Cleanliness,4,243
145,Cleanliness,2,240
146,Cleanliness,2,251
147,Food,5,231
148,Service,4,362
149,Food,2,44
150,Cleanliness,5,16
151,Food,1,15
152,Food,1,321
153,Cleanliness,5,305
154,Service,5,39
155,Cleanliness,2,350
156,Food,3,97
157,Food,5,398
158,Service,2,378
159,Service,5,248
160,Service,3,85
161,Service,1,307
162,Service,1,497
163,Food,5,50
164,Food,1,452
165,Service,1,346
166,Service,1,21
167,Cleanliness,2,217
168,Cleanliness,4,416
169,Cleanliness,3,53
170,Cleanliness,4,94
171,Cleanliness,4,152
172,Service,1,73
173,Service,1,138
174,Service,2,221
175,Service,1,354
176,Food,2,303
177,Service,5,257
178,Service,5,18
179,Food,5,454
180,Service,3,22
181,Cleanliness,3,81
182,Service,4,253
183,Cleanliness,4,486
184,Cleanliness,1,88
185,Food,3,2
186,Food,3,68
187,Service,2,64
188,Food,3,360
189,Cleanliness,4,328
190,Service,2,131
191,Service,1,357
192,Food,3,303
193,Service,2,436
194,Food,3,17
195,Food,2,63
196,Cleanliness,1,349
197,Cleanliness,2,139
198,Service,4,220
199,Cleanliness,4,446
200,Cleanliness,3,482
201,Food,5,103
202,Food,3,28
203,Food,3,422
204,Cleanliness,4,412
205,Food,2,29
206,Food,2,252
207,Service,5,401
208,Cleanliness,2,103
209,Cleanliness,3,104
210,Cleanliness,1,309
211,Food,1,318
212,Cleanliness,4,209
213,Service,4,75
214,Service,4,37
215,Food,5,396
216,Cleanliness,1,466
217,Food,3,282
218,Food,2,314
219,Service,4,113
220,Cleanliness,2,128
221,Food,4,37
222,Service,3,356
223,Cleanliness,5,82
224,Food,3,188
225,Service,3,265
226,Service,1,337
227,Cleanliness,4,441
228,Service,5,432
229,Service,2,285
230,Food,5,152
231,Food,4,38
232,Cleanliness,1,477
233,Food,1,396
